game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,home_team_id,gameHome,gameAway,home_scored_avg,home_conceded_avg,away_team_id,away_scored_avg,away_conceded_avg
0,2,0,1,4,0,5,4,0,3,2,1,5,6,0,10,2,0,3.037974683544304,2.607594936708861,8,2.6436781609195403,2.5517241379310347
1,2,1,3,0,0,2,1,0,6,0,0,6,5,0,6,1,2,2.3173076923076925,3.0865384615384617,4,3.076923076923077,2.802197802197802
4,3,0,1,5,0,2,4,1,3,4,0,2,6,1,12,1,5,2.9615384615384617,2.8205128205128207,14,3.0416666666666665,2.90625
4,5,0,5,2,0,0,4,0,3,2,0,1,3,0,23,3,4,2.4038461538461537,2.951923076923077,5,2.7790697674418605,2.488372093023256
0,1,0,3,1,0,4,2,0,2,0,0,5,2,1,7,4,1,2.8488372093023258,2.953488372093023,24,2.9176470588235293,2.8941176470588235
4,0,1,4,3,0,1,4,0,3,4,1,5,2,0,29,2,3,3.1772151898734178,2.6582278481012658,18,2.659340659340659,2.4065934065934065
4,3,0,2,1,0,1,2,0,2,0,0,7,5,0,17,5,3,2.875,3.1818181818181817,9,2.3125,3.05
2,3,0,2,4,0,5,4,0,4,3,0,3,4,0,26,3,2,2.411764705882353,2.7058823529411766,3,2.776470588235294,2.4235294117647057
1,4,0,2,3,0,1,3,0,5,2,1,1,2,0,24,2,1,2.8941176470588235,2.9176470588235293,3,2.776470588235294,2.4235294117647057
3,6,0,1,2,0,4,2,0,3,4,0,2,4,0,26,2,4,2.411764705882353,2.7058823529411766,7,2.953488372093023,2.8488372093023258
4,2,0,3,5,0,3,1,0,4,3,1,1,6,0,25,2,1,2.8354430379746836,2.7974683544303796,16,3.1511627906976742,2.7093023255813953
2,3,1,5,1,1,2,3,0,2,6,0,2,4,0,10,6,5,3.037974683544304,2.607594936708861,9,2.3125,3.05
